,files,emotion
0,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181852.211_face.png,0
1,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181805.878_face.png,0
2,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183125.424_face.png,0
3,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181756.527_face.png,0
4,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181650.138_face.png,0
5,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images_face.png,0
6,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181648.353_face.png,0
7,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T000157.243_face.png,0
8,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181712.561_face.png,0
9,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182615.689_face.png,0
10,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183207.814_face.png,0
11,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182736.037_face.png,0
12,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181726.878_face.png,0
13,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181812.604_face.png,0
14,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/7647334716_07c57f7e01_n_face.png,0
15,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182459.868_face.png,0
16,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183534.391_face.png,0
17,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T003702.323_face.png,0
18,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182546.932_face.png,0
19,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T190134.873_face.png,0
20,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T181818.525_face.png,0
21,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/2Q__ (3)_face.png,0
22,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T005533.290_face.png,0
23,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T182707.454_face.png,0
24,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T183139.743_face.png,0
25,/content/drive/MyDrive/HackUPC/data/Natrural_human_face/contempt/images - 2020-11-06T193346.805_face.png,0
